Loại cửa hàng	Tên cửa hàng	Địa chỉ cửa hàng	Số sao trên ShopeeFood	Số lượt đánh giá trên ShopeeFood	Thời gian mở cửa	Giá thấp nhất	Giá cao nhất	Phí dịch vụ	Số sao trên Foody	Số lượt đánh giá trên Foody
Café/Dessert	Juice Me - Chè, Sinh Tố &amp; Nước Ép Trái Cây	90T Lê Quang Sung, P. 6, Quận 6, TP. HCM	4.5	50+	09:00 - 19:45	15,000	190,000	0.0%	8.0	1
Quán ăn	Xuồng Ba Lá - Cơm Việt Nam &amp; Bún Bò Chả Ghẹ - Song Hành	78 Song Hành, P. An Phú, Thủ Đức, TP. HCM	4.5	10+	07:30 - 21:45	49,000	79,000	0.0%	<span>_._</span>	0
Quán ăn	Tea &amp; Coffee Parmano - 309 Thạch Lam	309 Thạch Lam, P. Phú Thạnh, Tân Phú, TP. HCM	0	0	07:30 - 22:00	20,000	50,000	0.0%	0	0
Quán ăn	Mén Ơi - Bún Thái &amp; Trà Sữa Nhà Làm	126 Trần Quang Cơ, P. Phú Thạnh, Tân Phú, TP. HCM	4.5	500+	08:00 - 20:00	10,000	40,000	0.0%	8.6	3
Ăn vặt/vỉa hè	Thảo An - Trà Sữa Nhà Nấu	8A Văn Cao, P. Phú Thạnh, Tân Phú, TP. HCM	4.5	100+	09:00 - 22:30	12,000	25,000	0.0%	<span>_._</span>	0
Quán ăn	Lâm Ký - Cơm Gà Sốt Tỏi	751/27E Hồng Bàng, P. 6, Quận 6, TP. HCM	4.5	999+	09:30 - 21:00	25,000	40,000	0.0%	8.7	4
Quán ăn	Chị Ba - Hủ Tiếu Nam Vang - Lê Văn Lương	182 Lê Văn Lương, P. Tân Hưng, Quận 7, TP. HCM	4.5	100+	09:00 - 14:00 | 16:00 - 21:00	55,000	85,000	0.0%	<span>_._</span>	0
Ăn vặt/vỉa hè	Sumo - Bánh Tráng Muối Nhuyễn	211/40 Minh Phụng, P. 9, Quận 6, TP. HCM	4.5	100+	08:00 - 22:00	12,000	40,000	0.0%	<span>_._</span>	0
Ăn vặt/vỉa hè	Sang - Chuối Chiên, Khoai Lang Chiên &amp; Bánh Cay - Chợ Bình Tây Phan Văn Khoẻ	46B Phan Văn Khoẻ, P. 2, Quận 6, TP. HCM	0.0	1	07:00 - 17:00	0	0	0.0%	<span>_._</span>	0
Quán ăn	Vịt Tỳ Bà Tứ Vị 91 - Đặc Sản Lạng Sơn Trứ Danh &amp; Đặc Sản Tây Bắc - Dương Văn Dương	29D Dương Văn Dương, P. Sơn Kỳ, Tân Phú, TP. HCM	0.0	2	10:00 - 23:00	0	0	0.0%	<span>_._</span>	0
Quán ăn	Em Út - Bún Chả Hà Nội &amp; Cơm Gà	107/9 Lý Thánh Tông, P. Tân Thới Hòa, Tân Phú, TP. HCM	4.5	50+	07:00 - 22:00	3,000	50,000	0.0%	<span>_._</span>	0
Café/Dessert	TocoToco Bubble Tea - Nguyễn Văn Quá	762 Nguyễn Văn Quá, P. Đông Hưng Thuận, Quận 12, TP. HCM	4.5	500+	09:00 - 21:30	29,000	60,000	0.0%	7.3	6
Ăn vặt/vỉa hè	Gấu Ơi - Coffee &amp; Beer	71 Dương Văn Dương, P. Tân Quý, Tân Phú, TP. HCM	0.0	2	06:00 - 22:00	0	0	0.0%	<span>_._</span>	0
Ăn vặt/vỉa hè	Sữa Chua Trân Châu Hạ Long - Lê Quang Sung	219A Lê Quang Sung, P. 6, Quận 6, TP. HCM	0	0	09:00 - 22:30	5,000	50,000	ShopeeFood</span	0	0
Café/Dessert	TocoToco Bubble Tea - 431 Lê Trọng Tấn	431 Lê Trọng Tấn, P. Sơn Kỳ, Tân Phú, TP. HCM	4.5	999+	08:30 - 22:00	30,000	89,000	0.0%	3.6	3
Shop/Cửa hàng	Mega Sweetie- Nguyễn Hữu Thọ	Block B, Sunrise CityView, 33 Nguyễn Hữu Thọ, P. Tân Hưng, Quận 7, TP. HCM	5.0	50+	08:00 - 17:00	50,000	500,000	0.0%	9.8	2
Quán ăn	Quán Cô Bảy - Nui &amp; Mì Xào - Đường Số 17	17 Đường Số 17, P. 4, Quận 8, TP. HCM	4.5	50+	06:00 - 23:45	0	0	0.0%	<span>_._</span>	0
Ăn vặt/vỉa hè, Shop Online	Ăn Vặt Guppy - Bánh Tráng Phơi Sương Muối Nhuyễn	19/4 Đường Số 35, P. Hiệp Bình Chánh, Thủ Đức, TP. HCM	4.5	100+	07:30 - 22:30	0	0	0.0%	<span>_._</span>	0
Quán ăn, Ăn vặt/vỉa hè	99 - Gỏi Cuốn - Nguyễn Văn Quá (không có menu)	99/9 Nguyễn Văn Quá, P. Đông Hưng Thuận, Quận 12, TP. HCM	4.5	100+	09:30 - 19:00	0	0	0.0%	0	0
Ăn vặt/vỉa hè	Ăn Vặt W Food - Hồng Bàng	732/12 Hồng Bàng, P. 1, Quận 11, TP. HCM	4.5	100+	07:30 - 23:00	8,000	300,000	0.0%	<span>_._</span>	0
Quán ăn	Cơm Gà Sốt Japan	87/17 Nguyễn Phạm Tuân, P. 9, Quận 6, TP. HCM	4.5	999+	08:00 - 18:00	20,000	60,000	0.0%	7.5	7
Quán ăn	Bún Thịt Nướng Ăn Là Thèm - Gỏi Cuốn &amp; Ăn Vặt (không có menu)	252/57 Phan Anh, P. Hiệp Tân, Tân Phú, TP. HCM	4.5	10+	09:00 - 21:00	8,000	52,000	0.0%	0	0
Quán ăn	Hotpot Story - 15/1 Nguyễn Văn Quá (không có menu)	15/1 Nguyễn Văn Quá, P. Đông Hưng Thuận, Quận 12, TP. HCM	4.5	50+	08:00 - 21:00	20,000	150,000	0.0%	<span>_._</span>	0
Quán ăn	Yummy - Gà Nướng Muối Ớt - Đường Số 6 (không có menu)	7 Đường Số 6, P. Tân Kiểng, Quận 7, TP. HCM	2.5	100+	10:00 - 23:00	50,000	200,000	0.0%	0	0
Quán ăn	PizzaGo - Pizza - Mỳ Ý &amp; Salad - Hậu Giang	92E Hậu Giang, P. 6, Quận 6, TP. HCM	4.0	10+	00:00 - 00:59 | 09:50 - 23:59	29,000	89,000	0.0%	<span>_._</span>	0
Ăn vặt/vỉa hè	Bánh Bao Chiên Nước - Lương Thế Vinh	63 Lương Thế Vinh, P. Tân Thới Hoà, Tân Phú, TP. HCM	4.5	999+	08:00 - 19:00	7,000	12,000	0.0%	6.7	39
Quán ăn	Gà Ta Ủ Muối Chính Hiệu - Phạm Thể Hiển	769/44/79B Phạm Thế Hiển, P. 4, Quận 8, TP. HCM	0	0	00:00 - 23:59	5,000	599,000	0.0%	0	0
Shop Online	Ăn Vặt Nhà Mị - Online	400/7I Tùng Thiện Vương, P. 13, Quận 8, TP. HCM	4.5	10+	09:00 - 23:59	0	0	0.0%	<span>_._</span>	0
Café/Dessert	Trà Sữa Trân Châu Dừa Subeo (không có menu)	 187/44 Mai Xuân Thưởng, P. 5, Quận 6, TP. HCM	4.5	999+	09:00 - 22:00	20,000	35,000	0.0%	0	0
Quán ăn	Tiệm Gà Ủ Muối Chính Hiệu &amp; Thế Giới Viên Chiên Thả Lẩu - 84 Cao Lỗ	79C Đường 84 Cao Lỗ, P. 4, Quận 8, TP. HCM	4.5	100+	00:00 - 03:00 | 06:00 - 23:59	20,000	250,000	0.0%	<span>_._</span>	0
Quán ăn	Phở Ngọc Hà - Phở - Lê Trọng Tấn	447 Lê Trọng Tấn, Phường Sơn Kỳ, Tân Phú, TP. HCM	4.5	100+	06:00 - 21:00	20,000	50,000	0.0%	6.1	2
Café/Dessert, Quán ăn	Riki - Coffee &amp; Tea	75 Đường Sô 9, P. Tân Kiểng, Quận 7, TP. HCM	0.0	2	06:00 - 21:00	5,000	99,000	0.0%	<span>_._</span>	0
Quán ăn	Cô Hai Nếp - Cơm Tấm &amp; Bánh Tằm Bì - Hồng Bàng (không có menu)	776 Hồng Bàng, P. 1, Quận 11, TP. HCM	4.5	10+	06:00 - 17:00	5,000	50,000	0.0%	0	0
Ăn vặt/vỉa hè	Gaf - Chân Gà Sả Tắc &amp; Chân Gà Sốt Thái (không có menu)	99/1A Tổ 4 Khu Phố 2 Nguyễn Văn Quá, P. Tân Thới Hiệp, Quận 12, TP. HCM	4.5	50+	09:00 - 23:00	70,000	260,000	0.0%	0	0
Quán ăn	Thu Hương - Nem Nướng Nha Trang - Trường Chinh	320/23 Trường Chinh, P. Tân Hưng Thuận, Quận 12, TP. HCM	4.5	10+	08:00 - 21:00	39,000	339,000	0.0%	<span>_._</span>	0
Café/Dessert	Detox Nhà Tạo - Nước Ép Detox (không có menu)	6/8A Tân Hoá, P. 1, Quận 11, TP. HCM	0.0	3	08:00 - 22:30	0	0	0.0%	0	0
Quán ăn	Bê Thui &amp; Lẩu Bò 393 - Thoại Ngọc Hầu	393 Thoại Ngọc Hầu, P. Hiệp Tân, Tân Phú, TP. HCM	4.5	999+	10:00 - 22:50	40,000	300,000	0.0%	6.8	1
Café/Dessert	MrsNhi - Milktea &amp; Coffee - Đường Số 7	Số 2 Đường Số 7, P. Tân Kiểng, Quận 7, TP. HCM	0.0	4	09:30 - 21:30	15,000	40,000	0.0%	<span>_._</span>	0
Café/Dessert	Wowtea Coffee - Cà Phê Pha Máy và Trà Trái Cây (không có menu)	6 Đường Số 15, P. Tân Kiểng, Quận 7, TP. HCM	4.5	999+	07:00 - 22:00	18,000	38,000	0.0%	0	0
Quán ăn	Cơm Tấm Thuận Phát (không có menu)	150 Cao Lỗ, P. 4, Quận 8, TP. HCM	4.5	999+	09:00 - 19:00	25,000	40,000	0.0%	0	0
Quán ăn	Bánh Tráng Trộn Hồng Phượng - Chung Cư Bình Khánh	Lô J, Nhà E, Chung Cư Bình Khánh, P. An Phú, Thủ Đức, TP. HCM	0.0	1	08:00 - 17:30	5,000	30,000	0.0%	<span>_._</span>	0
Quán ăn	Minh Tiến - Hột Vịt Lộn &amp; Mực Nướng - Ấp 4	99 PMQQ + Q74, Ấp 4, Đi Cuối Sân Bóng Khôi Nnguyên, Xã Bình Hưng, Bình Chánh, TP. HCM	0	0	07:04 - 23:59	0	0	0.0%	0	0
Café/Dessert	Trà Sữa Ding Tea - Đường DD7	92 Đường DD7, P. Tân Hưng Thuận, Quận 12, TP. HCM	4.5	999+	09:00 - 21:00	20,000	40,000	0.0%	<span>_._</span>	0
Quán ăn	Vua Bánh Mì - Hoàng Trọng Mậu	52 - 54 - 56 Hoàng Trọng Mậu, P. Tân Hưng, Quận 7, TP. HCM	4.5	10+	07:00 - 21:00	10,000	30,000	0.0%	<span>_._</span>	0
Shop Online	T@Food - Gỏi Cuốn &amp; Bún Mắm Nêm - Shop Online - Phan Anh (không có menu)	262/1N Phan Anh, P. Hiệp Tân, Tân Phú, TP. HCM	4.5	500+	09:00 - 21:00	8,000	30,000	0.0%	0	0
Shop Online	Trà sữa Online Béo - Hiệp Bình	148B Hiệp Bình, P. Hiệp Bình Chánh, Thủ Đức, TP. HCM	5.0	5	09:00 - 20:00	0	0	0.0%	<span>_._</span>	0
Quán ăn, Ăn vặt/vỉa hè	Phở Hủ Tiếu Khô Gia Lai Trúc - Phở &amp; Hủ Tiếu Khô - Nguyễn Hoàng (không có menu)	48 Nguyễn Hoàng, P. An Phú, Thủ Đức, TP. HCM	4.5	100+	08:00 - 14:00 | 17:30 - 20:30	0	0	0.0%	0	0
Shop Online	TLP Food - Thiên Đường Ăn Vặt - Shop Online (không có menu)	70 Thạnh Lộc 19, P. Thạnh Lộc , Quận 12, TP. HCM	4.5	5	08:00 - 21:30	15,000	500,000	0.0%	0	0
Quán ăn	Cơm Gà Út Hà - Đoàn Giỏi	31 Đoàn Giỏi, P. Sơn Kỳ, Tân Phú, TP. HCM	4.5	500+	10:00 - 23:00	10,000	50,000	0.0%	<span>_._</span>	0
Café/Dessert	Royaltea Take Away Việt Nam	A 225 Bis, Tổ 13, Khu Phố 2, P. Đông Hưng Thuận, Quận 12, TP. HCM	4.5	999+	08:00 - 22:00	20,000	40,000	0.0%	4.6	14
